model_a,model_b,n,po,pe,kappa,stage
Primary OpenAI,Primary OpenAI,408,1,0.7561034217608611,1,l1
Primary Anthropic,Primary OpenAI,408,0.9215686274509803,0.7911860822760477,0.6243958573072494,l1
Primary Gemini,Primary OpenAI,408,0.8284313725490197,0.6473471741637831,0.5134914145543747,l1
Escalation OpenAI,Primary OpenAI,376,0.8696808510638298,0.8048042100497963,0.3323670097115522,l1
Escalation xAI,Primary OpenAI,376,0.7101063829787234,0.6306303757356269,0.21516660283416345,l1
Escalation Anthropic,Primary OpenAI,376,0.9361702127659575,0.898766410140335,0.36948015651201815,l1
Primary OpenAI,Primary Anthropic,408,0.9215686274509803,0.7911860822760477,0.6243958573072494,l1
Primary Anthropic,Primary Anthropic,408,1,0.8310745866974241,1,l1
Primary Gemini,Primary Anthropic,408,0.7990196078431373,0.6675317185697809,0.39549002601908073,l1
Escalation OpenAI,Primary Anthropic,376,0.8590425531914894,0.84243435943866,0.10540492009337443,l1
Escalation xAI,Primary Anthropic,376,0.6622340425531915,0.6467575826165685,0.04381257509010854,l1
Escalation Anthropic,Primary Anthropic,376,0.9521276595744681,0.9479968311453145,0.07943416757345144,l1
Primary OpenAI,Primary Gemini,408,0.8284313725490197,0.6473471741637831,0.5134914145543747,l1
Primary Anthropic,Primary Gemini,408,0.7990196078431373,0.6675317185697809,0.39549002601908073,l1
Primary Gemini,Primary Gemini,408,1,0.5847750865051904,1,l1
Escalation OpenAI,Primary Gemini,376,0.8324468085106383,0.6881507469443187,0.46271094175285815,l1
Escalation xAI,Primary Gemini,376,0.8271276595744681,0.580636034404708,0.5877749291593577,l1
Escalation Anthropic,Primary Gemini,376,0.8031914893617021,0.7461521050248981,0.22469906375390108,l1
Primary OpenAI,Escalation OpenAI,376,0.8696808510638298,0.8048042100497963,0.3323670097115522,l1
Primary Anthropic,Escalation OpenAI,376,0.8590425531914894,0.84243435943866,0.10540492009337443,l1
Primary Gemini,Escalation OpenAI,376,0.8324468085106383,0.6881507469443187,0.46271094175285815,l1
Escalation OpenAI,Escalation OpenAI,376,1,0.7502404934359439,1,l1
Escalation xAI,Escalation OpenAI,376,0.7978723404255319,0.6072459257582616,0.4853582105680222,l1
Escalation Anthropic,Escalation OpenAI,376,0.8643617021276596,0.8273822996831144,0.21422717587280862,l1
Primary OpenAI,Escalation xAI,376,0.7101063829787234,0.6306303757356269,0.21516660283416345,l1
Primary Anthropic,Escalation xAI,376,0.6622340425531915,0.6467575826165685,0.04381257509010854,l1
Primary Gemini,Escalation xAI,376,0.8271276595744681,0.580636034404708,0.5877749291593577,l1
Escalation OpenAI,Escalation xAI,376,0.7978723404255319,0.6072459257582616,0.4853582105680222,l1
Escalation xAI,Escalation xAI,376,1,0.5459625396106835,1,l1
Escalation Anthropic,Escalation xAI,376,0.6835106382978723,0.640306699864192,0.12011326988122371,l1
Primary OpenAI,Escalation Anthropic,376,0.9361702127659575,0.898766410140335,0.36948015651201815,l1
Primary Anthropic,Escalation Anthropic,376,0.9521276595744681,0.9479968311453145,0.07943416757345144,l1
Primary Gemini,Escalation Anthropic,376,0.8031914893617021,0.7461521050248981,0.22469906375390108,l1
Escalation OpenAI,Escalation Anthropic,376,0.8643617021276596,0.8273822996831144,0.21422717587280862,l1
Escalation xAI,Escalation Anthropic,376,0.6835106382978723,0.640306699864192,0.12011326988122371,l1
Escalation Anthropic,Escalation Anthropic,376,1,0.9283046627433227,1,l1
