bucket,n,mean_pred,obs_rate
"[0.015,0.0383]",46,0.032934782608695666,0
"(0.0383,0.0433]",38,0.04267543859649124,0
"(0.0433,0.0517]",47,0.047765957446808525,0
"(0.0517,0.065]",35,0.05971428571428573,0
"(0.065,0.09]",39,0.07512820512820514,0.02564102564102564
"(0.09,0.146]",40,0.12037500000000001,0
"(0.146,0.274]",41,0.19601626016260165,0.024390243902439025
"(0.274,0.37]",41,0.3045934959349594,0.12195121951219512
"(0.37,0.639]",40,0.4686666666666667,0.175
"(0.639,0.99]",41,0.8941463414634147,0.7317073170731707
